Source,Transplant,Colony ID,time,carb,protein,lipid,zoox,change_zoox,,Colony ID,time,carb,protein,lipid,zoox,change_zoox
2,2,KK1,3,0.150554263,4.566010808,0.037368292,,NA,,KK1,3,0.150554263,4.566010808,0.037368292,,NA
2,2,KK10,3,0.146910172,3.018709519,0.109647339,463080.7745,463080.7745,,KK10,3,0.146910172,3.018709519,0.109647339,463080.7745,463080.7745
2,2,KK11,3,0.085323693,1.896942679,0.043974835,,-463080.7745,,KK11,3,0.085323693,1.896942679,0.043974835,,-463080.7745
2,2,KK12,3,0.169797745,4.399359442,0.285853185,,NA,,KK12,3,0.169797745,4.399359442,0.285853185,,NA
2,2,KK13,3,0.129117435,3.00720556,0.08674597,,NA,,KK13,3,0.129117435,3.00720556,0.08674597,,NA
2,2,KK14,3,0.11464154,0.919854376,0.046237194,,NA,,KK14,3,0.11464154,0.919854376,0.046237194,,NA
2,2,KK15,3,0.10293323,1.199003032,0.152535101,,NA,,KK15,3,0.10293323,1.199003032,0.152535101,,NA
2,2,KK2,3,0.096267381,4.599013074,0.151263649,551328.2161,551328.2161,,KK2,3,0.096267381,4.599013074,0.151263649,551328.2161,551328.2161
2,2,KK3,3,0.114838392,2.258170961,0.151048473,88747.54546,-462580.6706,,KK3,3,0.114838392,2.258170961,0.151048473,88747.54546,-462580.6706
2,2,KK5,3,0.1359928,2.478501139,0.082763954,,-88747.54546,,KK5,3,0.1359928,2.478501139,0.082763954,,-88747.54546
2,2,KK6,3,0.112238974,2.947901149,0.147334221,445222.9678,445222.9678,,KK6,3,0.112238974,2.947901149,0.147334221,445222.9678,445222.9678
2,2,KK7,3,0.121520625,4.033958977,0.14134813,690344.2689,245121.3011,,KK7,3,0.121520625,4.033958977,0.14134813,690344.2689,245121.3011
2,2,KK8,3,0.107011003,5.566722944,0.136877392,723571.8326,33227.5637,,KK8,3,0.107011003,5.566722944,0.136877392,723571.8326,33227.5637
2,2,KK9,3,0.101263365,7.196470782,0.14719486,,-723571.8326,,KK9,3,0.101263365,7.196470782,0.14719486,,-723571.8326
2,1,KO10,3,0.132662347,2.803548223,0.0337439,243755.8127,243755.8127,,KO10,3,0.132662347,2.803548223,0.0337439,243755.8127,243755.8127
2,1,KO13,3,0.079890266,2.325757471,0.110462354,,-243755.8127,,KO13,3,0.079890266,2.325757471,0.110462354,,-243755.8127
2,1,KO14,3,0.094344893,0.876797145,0.107189768,,NA,,KO14,3,0.094344893,0.876797145,0.107189768,,NA
2,1,KO2,3,0.077545301,1.727815283,0.101055434,78503.96654,78503.96654,,KO2,3,0.077545301,1.727815283,0.101055434,78503.96654,78503.96654
2,1,KO3,3,0.163676633,0.566823929,0.092822234,497567.7844,419063.8179,,KO3,3,0.163676633,0.566823929,0.092822234,497567.7844,419063.8179
2,1,KO5,3,0.111186856,3.598870292,0.301605708,,-497567.7844,,KO5,3,0.111186856,3.598870292,0.301605708,,-497567.7844
2,1,KO6,3,0.098078788,8.678066243,0.110499422,190889.4776,190889.4776,,KO6,3,0.098078788,8.678066243,0.110499422,190889.4776,190889.4776
2,1,KO7,3,0.09197663,4.476127798,0.15930361,55884.39884,-135005.0788,,KO7,3,0.09197663,4.476127798,0.15930361,55884.39884,-135005.0788
2,1,KO8,3,0.064876824,0.608223785,0.21289436,68317.54656,12433.14772,,KO8,3,0.064876824,0.608223785,0.21289436,68317.54656,12433.14772
1,2,OK1,3,0.144733105,10.60042691,0.216446849,,-68317.54656,,OK1,3,0.144733105,10.60042691,0.216446849,,-68317.54656
1,2,OK10,3,,,,741651.6988,741651.6988,,OK10,3,,,,741651.6988,741651.6988
1,2,OK13,3,0.107069897,7.158026462,0.10121109,,-741651.6988,,OK13,3,0.107069897,7.158026462,0.10121109,,-741651.6988
1,2,OK14,3,0.087237594,2.465745871,0.129952699,535793.395,535793.395,,OK14,3,0.087237594,2.465745871,0.129952699,535793.395,535793.395
1,2,OK15,3,0.096119002,13.06251415,,,-535793.395,,OK15,3,0.096119002,13.06251415,,,-535793.395
1,2,OK2,3,0.154948105,6.527978246,0.145428481,460625.138,460625.138,,OK2,3,0.154948105,6.527978246,0.145428481,460625.138,460625.138
1,2,OK3,3,0.174684345,10.21358392,0.177660072,,-460625.138,,OK3,3,0.174684345,10.21358392,0.177660072,,-460625.138
1,2,OK4,3,0.164965433,7.927156701,0.084430913,1043352.374,1043352.374,,OK4,3,0.164965433,7.927156701,0.084430913,1043352.374,1043352.374
1,2,OK5,3,0.082761221,4.89448156,0.082380229,575555.3569,-467797.0171,,OK5,3,0.082761221,4.89448156,0.082380229,575555.3569,-467797.0171
1,2,OK6,3,0.180889532,6.207981799,0.174665816,763374.8176,187819.4607,,OK6,3,0.180889532,6.207981799,0.174665816,763374.8176,187819.4607
1,2,OK7,3,0.158024571,12.54342589,0.189911856,1398960.251,635585.4334,,OK7,3,0.158024571,12.54342589,0.189911856,1398960.251,635585.4334
1,2,OK9,3,0.11773585,6.809978859,0.125061425,,-1398960.251,,OK9,3,0.11773585,6.809978859,0.125061425,,-1398960.251
1,1,OO10,3,0.12211422,7.76159026,0.117438017,323673.1208,323673.1208,,OO10,3,0.12211422,7.76159026,0.117438017,323673.1208,323673.1208
1,1,OO14,3,0.091368333,0.940313164,0.102249928,265530.2827,-58142.8381,,OO14,3,0.091368333,0.940313164,0.102249928,265530.2827,-58142.8381
1,1,OO2,3,0.189149062,5.252783599,0.196123963,26427.704,-239102.5787,,OO2,3,0.189149062,5.252783599,0.196123963,26427.704,-239102.5787
1,1,OO4,3,0.140448997,3.704092078,0.174289794,550901.3721,524473.6681,,OO4,3,0.140448997,3.704092078,0.174289794,550901.3721,524473.6681
1,1,OO5,3,0.08074494,3.424789342,0.105248576,160584.562,-390316.8101,,OO5,3,0.08074494,3.424789342,0.105248576,160584.562,-390316.8101
1,1,OO6,3,0.13027116,3.054528777,0.130604526,465920.3882,305335.8262,,OO6,3,0.13027116,3.054528777,0.130604526,465920.3882,305335.8262
1,1,OO7,3,0.151795708,3.929910636,0.105967482,342303.3494,-123617.0388,,OO7,3,0.151795708,3.929910636,0.105967482,342303.3494,-123617.0388
1,1,OO9,3,0.068490915,4.167869079,0.102808211,,-342303.3494,,OO9,3,0.068490915,4.167869079,0.102808211,,-342303.3494
2,2,KK1,2,0.102425654,4.894838032,0.207542472,,,,,,,,,,
2,2,KK10,2,0.193387028,3.853532076,0.178745851,1244330.862,1244330.862,,,,,,,,
2,2,KK11,2,0.123377389,3.121237774,0.0923316,,-1244330.862,,,,,,,,
2,2,KK12,2,0.156259182,5.802264714,0.270346006,,0,,,,,,,,
2,2,KK13,2,0.137717923,3.431815531,0.207868511,,0,,,,,,,,
2,2,KK14,2,0.086380266,2.706156791,0.160173925,,0,,,,,,,,
2,2,KK15,2,0.18254926,2.555642654,0.127228295,,0,,,,,,,,
2,2,KK2,2,0.169858152,1.98042744,0.208789733,878195.715,878195.715,,,,,,,,
2,2,KK3,2,0.144859697,3.164272387,0.137247096,712942.1506,-165253.5644,,,,,,,,
2,2,KK5,2,0.101099461,3.202082798,0.123071991,,-712942.1506,,,,,,,,
2,2,KK6,2,0.130755152,2.88739817,0.045584757,845038.8265,845038.8265,,,,,,,,
2,2,KK7,2,0.143057914,5.566510539,0.174352621,765759.9022,-79278.9243,,,,,,,,
2,2,KK8,2,0.165236737,5.227530133,0.221702674,910822.8991,145062.9969,,,,,,,,
2,2,KK9,2,0.087992585,2.41683232,0.065839848,,-910822.8991,,,,,,,,
2,1,KO10,2,0.134096526,2.441004275,0.171452895,456761.2289,456761.2289,,,,,,,,
2,1,KO11,2,0.099751004,,,,-456761.2289,,,,,,,,
2,1,KO12,2,0.118795667,1.493258694,1.117037392,,0,,,,,,,,
2,1,KO13,2,0.071901226,4.202275158,0.104329744,,0,,,,,,,,
2,1,KO14,2,0.086721831,1.349688818,0.149749768,,0,,,,,,,,
2,1,KO15,2,0.072214431,2.653649552,0.124521414,,0,,,,,,,,
2,1,KO2,2,0.142638029,2.351118466,0.093645084,374106.6011,374106.6011,,,,,,,,
2,1,KO3,2,0.129322101,1.62437485,0.114800738,687388.5515,313281.9504,,,,,,,,
2,1,KO4,2,0.199412262,1.403322058,0.069861253,,-687388.5515,,,,,,,,
2,1,KO5,2,0.097941761,2.439742134,0.118165385,,0,,,,,,,,
2,1,KO6,2,0.107719512,6.215222345,0.072766673,828448.5672,828448.5672,,,,,,,,
2,1,KO7,2,0.135544156,5.349708935,0.126645799,452758.7318,-375689.8354,,,,,,,,
2,1,KO8,2,0.103038726,6.384970251,0.099003697,600766.079,148007.3472,,,,,,,,
2,1,KO9,2,0.155499736,3.045102562,0.078003178,,-600766.079,,,,,,,,
1,2,OK1,2,0.172023192,3.937934322,0.103320334,,0,,,,,,,,
1,2,OK10,2,0.172670464,12.76824937,0.248797869,1156081.249,1156081.249,,,,,,,,
1,2,OK11,2,0.093357769,1.248213366,0.132287714,,-1156081.249,,,,,,,,
1,2,OK12,2,0.112350957,9.589126817,0.177854778,,0,,,,,,,,
1,2,OK13,2,0.15231138,6.37722052,0.230481057,,0,,,,,,,,
1,2,OK14,2,0.072183236,2.444201447,0.126878013,969855.5316,969855.5316,,,,,,,,
1,2,OK15,2,0.113386026,4.563685477,0.005953834,,-969855.5316,,,,,,,,
1,2,OK2,2,0.180249092,4.44453067,0.216848661,709707.4013,709707.4013,,,,,,,,
1,2,OK3,2,0.17463938,2.188682563,0.232905488,,-709707.4013,,,,,,,,
1,2,OK33,2,0.093575589,5.841658792,0.184951908,,0,,,,,,,,
1,2,OK4,2,0.176182635,3.455407173,0.235494184,1317091.005,1317091.005,,,,,,,,
1,2,OK5,2,0.151201681,4.706357426,0.163296186,714980.8694,-602110.1356,,,,,,,,
1,2,OK6,2,0.178760273,4.288222165,0.125243162,1276809.305,561828.4356,,,,,,,,
1,2,OK7,2,0.127078224,3.811677211,0.074587093,667263.1303,-609546.1747,,,,,,,,
1,2,OK8,2,0.145067144,5.419928767,0.191824994,,-667263.1303,,,,,,,,
1,2,OK9,2,0.149224604,10.34562414,0.086156884,,0,,,,,,,,
1,1,OO1,2,0.063752302,1.706597525,0.054476381,,0,,,,,,,,
1,1,OO10,2,0.081780363,1.405379286,0.07352902,682441.2149,682441.2149,,,,,,,,
1,1,OO11,2,0.102907678,2.17588559,0.126656166,,-682441.2149,,,,,,,,
1,1,OO12,2,0.122769379,2.113198113,0.109088622,,0,,,,,,,,
1,1,OO13,2,0.115417664,2.989116464,0.137729107,,0,,,,,,,,
1,1,OO14,2,0.149062786,2.966476309,0.147481406,577061.684,577061.684,,,,,,,,
1,1,OO15,2,0.094926376,2.374168284,0.035042574,,-577061.684,,,,,,,,
1,1,OO2,2,0.108345626,4.17669631,0.073061343,519877.1213,519877.1213,,,,,,,,
1,1,OO3,2,0.079178511,0.84659241,0.071142149,,-519877.1213,,,,,,,,
1,1,OO4,2,0.130043739,2.143295514,0.123943552,197308.2197,197308.2197,,,,,,,,
1,1,OO5,2,0.089995207,4.158591839,0.133709505,521273.422,323965.2023,,,,,,,,
1,1,OO6,2,0.12100432,1.981926952,0.099273438,1070629.668,549356.246,,,,,,,,
1,1,OO7,2,0.108653742,2.970671695,0.148833922,681275.2763,-389354.3917,,,,,,,,
1,1,OO8,2,0.086180044,1.858585842,0.044701824,,-681275.2763,,,,,,,,
1,1,OO9,2,0.084016447,1.714582102,0.071273858,,0,,,,,,,,
2,2,KK1,1,0.071961665,2.614968384,0.098248232,,,,,,,,,,
2,2,KK10,1,0.112172162,3.021677334,0.069873433,1177227.607,1177227.607,,,,,,,,
2,2,KK11,1,0.085314894,5.546121412,0.171923032,,-1177227.607,,,,,,,,
2,2,KK12,1,0.158343931,5.09882043,0.178805081,,0,,,,,,,,
2,2,KK13,1,0.112227902,2.809708599,0.165578076,,0,,,,,,,,
2,2,KK14,1,0.108362122,8.060799277,0.142910039,,0,,,,,,,,
2,2,KK15,1,0.061119226,2.665921123,0.084709824,,0,,,,,,,,
2,2,KK2,1,0.067898325,2.904925461,0.179124499,841686.4274,841686.4274,,,,,,,,
2,2,KK3,1,0.075378301,3.155022337,0.094676892,1129782.733,288096.3056,,,,,,,,
2,2,KK5 ,1,0.124860275,5.662216185,0.094338609,,-1129782.733,,,,,,,,
2,2,KK6,1,0.108793223,3.675161948,0.086703418,794835.9748,794835.9748,,,,,,,,
2,2,KK7,1,0.133020701,8.713529264,0.209711643,778091.0507,-16744.9241,,,,,,,,
2,2,KK8,1,0.132342596,5.639174329,0.122847355,1393662.297,615571.2463,,,,,,,,
2,2,KK9,1,0.081895627,1.236515477,0.05941441,,-1393662.297,,,,,,,,
1,1,OO1,1,0.138428809,8.071295121,0.189800376,,0,,,,,,,,
1,1,OO10,1,0.109747129,5.412770793,0.152738255,857078.8651,857078.8651,,,,,,,,
1,1,OO11,1,0.105357363,3.260349156,0.12046133,,-857078.8651,,,,,,,,
1,1,OO12,1,0.08817267,1.5662375,0.121503862,,0,,,,,,,,
1,1,OO13,1,0.10148918,2.093291277,0.087872511,,0,,,,,,,,
1,1,OO14,1,0.107515203,2.397185765,0.108095797,538789.9892,538789.9892,,,,,,,,
1,1,OO15,1,0.082261601,4.681031205,0.140546299,,-538789.9892,,,,,,,,
1,1,OO2,1,0.102975716,4.222073225,0.137441092,584878.4646,584878.4646,,,,,,,,
1,1,OO3,1,0.102358981,3.187123275,0.153927196,,-584878.4646,,,,,,,,
1,1,OO33,1,0.084031664,1.992584574,0.057462503,,0,,,,,,,,
1,1,OO4,1,0.102717907,6.776246268,0.204857977,994435.6998,994435.6998,,,,,,,,
1,1,OO5,1,0.058393837,4.067403736,0.085566375,844026.7187,-150408.9811,,,,,,,,
1,1,OO6,1,0.100115204,4.40977236,0.148209361,855082.8901,11056.1714,,,,,,,,
1,1,OO7,1,0.105907512,5.383951491,0.122945482,649786.0813,-205296.8088,,,,,,,,
1,1,OO8,1,0.108457235,4.169432747,0.230694862,,-649786.0813,,,,,,,,
1,1,OO9,1,0.090051292,3.16128121,0.061997421,,0,,,,,,,,